sentence,noun,pronoun,label
Kirilov cedeu a presidência a Shatov porque ele era mais popular.,Kirilov,ele,0
"Na competição Loebner, os juízes não conseguiam descobrir quais participantes eram os chatbots porque eles eram muito avançados.",Os juízes,eles,0
Madonna demitiu a sua treinadora porque ela dormiu com o namorado dela.,Madonna,dela,1
"O usuário mudou a sua senha ""GrWQWu8JyC"" para ""willow-towered Canopy Huntertropic wrestles"" porque ela era fácil de se lembrar.",GrWQWu8JyC,ela,0
"Eu estava a tentar abrir o cadeado com a chave, mas alguém havia preenchido a fechadura com pastilha elástica, e eu não conseguia inserir ela .",A chave,ela,1
As raposas estão entrando à noite e atacam as galinhas. Elas tem de ser protegidas.,As galinhas,Elas,1
"O Marcos contou muitas mentiras sobre ele mesmo para o Pedro, e o Pedro incluiu-as no seu livro. Ele deveria ter sido mais cético.",Pedro,Ele,1
"Eu vi o Guilherme gritando com um homem que vestia uma farda e tinha uma grande barba ruiva. Eu não sei porque é que ele estava assim, mas ele parecia muito chateado.",Guilherme,ele,1
"Os alunos mais velhos estavam a fazer bullying aos mais jovens, então nós protegemos eles .",Os alunos mais velhos,eles,0
Madonna demitiu a sua treinadora porque ela não apoiava o namorado dela.,Madonna,dela,0
"A Maria acomodou a sua filha Amanda na cama, para que ela pudesse dormir.",A filha da Maria,ela,1
O João contratou o André para cuidar dele.,André,dele,0
"A luz do sol tinha sido bloqueada por uma grande nuvem durante a manhã toda, mas por sorte, na hora em que o piquenique começou, ela voltou.",A luz do sol,ela,1
Jorge pagou ao detetive depois de ele ter recebido o relatório final sobre o caso.,O detetive,ele,0
O Bruno colapsou na calçada. Logo viu o Carlos a vir ajudá-lo. Ele estava muito doente.,Bruno,Ele,1
"Quando os apoiantes do projeto de lei chegaram à Câmara Municipal, ficaram surpreendidos ao encontrar a sala cheia de opositores. Eles estavam em grande minoria.",Os opositores,Eles,0
O Francisco é a única pessoa que ainda se lembra do meu bisavô. Ele era um homem memorável.,Francisco,Ele,0
Jorge pagou ao detetive depois de ele ter recebido o relatório final sobre o caso.,Jorge,ele,1
"Se o golpista tivesse sido bem sucedido em enganar o Samuel, ele teria ganhado muito dinheiro.",O golpista,ele,1
O Artur chorou porque o Sebastião não queria partilhar o seu brinquedo.,Artur,seu,0
O André deu o gameboy ao João porque era a vez dele.,André,dele,0
O Bruno colapsou na calçada. Logo viu o Carlos a vir ajudá-lo. Ele estava muito preocupado.,Bruno,Ele,0
"A Gabriela bateu à porta da Vanessa, mas ninguém respondeu. Ela ficou desapontada.",Gabriela,Ela,1
Eu não consigo cortar aquela árvore com essa motosserra; ela é muito pequena.,A motosserra,ela,1
"O Samuel tentou pintar um quadro de pastoras com ovelhas, mas elas acabaram por se parecer mais com cães.",As ovelhas,elas,1
O Francisco tapou os olhos com os antebraços porque o vento trazia muita areia. Baixou-os quando o vento parou.,Seus antebraços,os,1
Os arqueólogos concluíram que humanos viveram em Laputa há 20.000 anos. Eles caçavam veados nas margens do rio.,Arqueologistas,Eles,0
A Eduarda estava muito feliz em trocar a blusa dela pela minha gabardine. Ela acha que ela fica deselegante nela.,A gabardine,ela,0
"A Beatriz conversou com a Daniela, tirando a sua concentração.",Daniela,sua,1
O João não conseguia ver o palco com o Artur à sua frente porque ele era demasiado alto.,Artur,ele,1
A Eduarda estava muito feliz em trocar a blusa dela pela minha gabardine. Ela acha que ela fica deselegante nela.,A blusa,ela,1
A escultura caiu da prateleira porque ela não estava bem acomodada.,A prateleira,ela,0
"O Fernando visitou o túmulo de Leonardo em 1765. Nessa data, fazia cinco anos que ele tinha morrido.",Fernando,ele,0
Eu não consigo cortar aquela árvore com essa motosserra; ela é muito pequena.,A árvore,ela,0
"Não consegui encontrar uma colher, por isso tentei usar um lápis para mexer o café. Mas acabou por ser uma má ideia, porque ele ficou cheio de café.",O lápis,ele,1
As universidades estão a estudar três espécies de peixes que foram recentemente descobertas a viver no Oceano Índico. Elas apareceram há dois anos atrás.,As espécies de peixe,Elas,1
Felipe sentiu-se vingado quando o seu rival de longa data André revelou que ele era o vencedor da competição.,André,ele,0
O Bruno pagou os estudos superiores do Fábio. Ele é muito grato.,Fábio,Ele,1
"Apesar de ambas correrem aproximadamente na mesma velocidade, a Sandra derrotou a Márcia porque ela começou muito mal.",Sandra,ela,0
Tenho a certeza que o meu mapa vai mostrar esse prédio; ele é muito famoso.,O prédio,ele,1
A grande bola atravessou a mesa pois ela era feita de esferovite.,A grande bola,ela,0
A Vanessa sabe tudo sobre os problemas pessoais da Adriana porque ela é indiscreta.,Vanessa,ela,0
Os arqueólogos concluíram que humanos viveram em Laputa há 20.000 anos. Eles procuraram por evidências nas margens do rio.,Humanos pré-históricos,Eles,0
"O meu encontro começava às 4:00 e eu precisava apanhar o comboio às 4:30, portanto não havia muito tempo. Felizmente, ele estava atrasado, por isso tudo se resolveu.",O meu encontro,ele,0
A Sara pediu um livro emprestado à biblioteca porque ela precisa dele para um artigo no qual ela está a trabalhar. Ela escreve ele quando chega do trabalho.,O livro,ele,0
"Francisco deveria ter ligado a máquina de lavar louça, mas ele adiou, porque queria assistir TV. Por fim o programa estava chato, então ele mudou de ideia e desligou ela.",A TV,ela,1
"Vanessa sabia que o filho de Adriana havia se envolvido em um acidente de carro, porque ela contou pra ela a respeito.",Adriana,ela,1
"Os pais da Patrícia chegaram a casa e encontraram-na a ter relações sexuais com o seu namorado, Paulo. Eles ficaram furiosos com isso.",Os pais da Patrícia,Eles,1
"O Francisco ficou a ver televisão enquanto o Gabriel foi fazer as compras. Passada uma hora, ele levantou-se.",Gabriel,ele,0
"A luz do sol tinha sido bloqueada por uma grande nuvem durante a manhã toda, mas por sorte, na hora em que o piquenique começou, ela voltou.",A nuvem,ela,0
Muitas pessoas começam a ler as crónicas do Paulo e não conseguem largar-las. Elas são populares porque o Paulo escreve muito bem.,As pessoas,Elas,0
O João estava fazendo uma pesquisa na biblioteca quando ouviu um homem cantarolando e assobiando. Ele era muito irritante.,João,Ele,0
"Os jornalistas entrevistaram as estrelas do novo filme. Como eles eram muito cooperantes, a entrevista prolongou-se durante muito tempo.",Os jornalistas,Eles,0
"O Fernando visitou o túmulo de Leonardo em 1765. Nessa data, fazia cinco anos que ele tinha morrido.",Leonardo,ele,1
"O meu encontro começava às 4:00 e eu precisava apanhar o comboio às 4:30, portanto não havia muito tempo. Felizmente, ele estava atrasado, por isso tudo se resolveu.",O comboio,ele,1
A Maria pegou na sua flauta e tocou uma das suas peças favoritas. Ela ama ela desde criança.,A flauta,ela,0
"Durante um jogo de apanhada, Eduardo perseguiu Lucas porque ""estava com ele "".",Lucas,ele,0
Eu pus o bolo no frigorífico. Ele tem muita manteiga.,A torta,Ele,1
"Gabriel conseguiu bilhetes de graça para a peça, mas ele deu-los ao Manuel, porque ele não estava particularmente interessado em assistir a ela.",Gabriel,ele,1
O homem não conseguia erguer o seu filho porque ele era muito fraco.,O filho,ele,0
A Ana foi muito pior do que a sua amiga Luciana na prova porque ela tinha estudado muito.,Luciana,ela,1
O Pedro tem inveja do Marcelo apesar de ele ser muito bem sucedido.,Pedro,ele,1
"O advogado fez uma pergunta ao acusado, mas ele estava relutante em responder-la.",0 acusado,ele,1
"João ordenou a André que se fosse embora e, uma hora depois, ele partiu.",João,ele,0
"Apesar de ambas correrem aproximadamente na mesma velocidade, a Sandra derrotou a Márcia porque ela começou muito bem.",Márcia,ela,0
O Rodrigo segue o exemplo do Francisco em tudo. Ele admira-o imensamente.,Francisco,Ele,0
O Pedro tem inveja do Marcelo porque ele é muito bem sucedido.,Marcelo,ele,1
O pai carregava o menino dormindo ao seu colo,O menino,seu,0
A Alice tentou incansavelmente impedir a sua filha de conversar na festa. Perguntámo-nos porque é que ela se comportava de forma tão estranha.,A filha da Alice,ela,0
O Daniel obrigou o André a parar de brincar com o pássaro ferido. Ele é muito cruel.,Daniel,Ele,0
"A Maria acomodou a sua filha Amanda na cama, para que ela pudesse trabalhar.",A filha da Maria,ela,0
O João estava correndo pelo parque quando viu um homem fazendo malabarismos com melancias. Ele ficou muito impressionado.,O malabarista,Ele,0
O cliente entrou no banco e esfaqueou um dos caixas. Ele foi levado imediatamente para o hospital.,O cliente,Ele,0
"O Bruno pagou os estudos superiores do Fábio, mas agora o Fábio age como se isso nunca tivesse acontecido. Ele é muito ingrato.",Fábio,Ele,1
A grande bola atravessou a mesa pois ela era feita de aço.,A grande bola,ela,1
O homem levantou o menino para a sua cama.,O homem,sua,0
"Eu vi o Guilherme gritando com um homem que vestia uma farda e tinha uma grande barba ruiva. Eu não sei quem ele era, mas ele parecia muito chateado.",Guilherme,ele,0
A Gabriela deu doces para a Jéssica porque ela estava com fome.,Jéssica,ela,1
Eu servi o refrigerante no copo até que ele ficasse vazio.,O copo,ele,0
"O saco de batatas tinha sido colocado em cima do saco de farinha, portanto ele tinha que ser retirado antes.",O saco de farinha,ele,0
"Os alunos mais velhos estavam a fazer bullying aos mais jovens, então nós punimos eles .",Os alunos mais velhos,eles,1
"Alongando as suas costas, a mulher sorriu para a menina.",A menina,suas,0
"Paulo tentou ligar para o Gabriel, mas ele não foi bem sucedido.",Paulo,ele,1
"O usuário mudou a sua senha ""GrWQWu8JyC"" para ""willow-towered Canopy Huntertropic wrestles"" porque ela era fácil de se esquecer.",GrWQWu8JyC,ela,1
"Gabriel conseguiu bilhetes de graça para a peça, mas ele deu-los ao Manuel, mesmo ele estando particularmente interessado em assistir a ela.",Gabriel,ele,1
A Amanda deu à luz uma menina no mês passado. Ela é uma bebé encantadora.,A filha da Amanda,Ela,1
O Felipe estava chateado com o Vasco porque a torradeira que ele lhe tinha vendido não funcionava,Felipe,ele,0
Madonna demitiu a sua treinadora porque ela não apoiava o namorado dela.,A treinadora,dela,1
"Durante a apresentação a céu aberto, começou a chover, e ela continuou até às 10.",A apresentação,ela,0
"O usuário mudou a sua senha ""GrWQWu8JyC"" para ""willow-towered Canopy Huntertropic wrestles"" porque ela era fácil de se lembrar.",willow-towered Canopy Huntertropic wrestles,ela,1
"O cão perseguiu o gato, que correu até a árvore. Ele esperou lá em baixo.",O gato,Ele,0
A Alice tentou incansavelmente impedir a sua filha de gritar na festa. Perguntámo-nos porque é que ela se comportava de forma tão estranha.,Alice,ela,0
"Nós fomos para a lagoa, porque um tubarão havia sido avistado na praia, então ela era um lugar perigoso para nadar.",A praia,ela,1
Madonna demitiu a sua treinadora porque ela não apoiava o namorado dela.,Madonna,ela,1
"Toda a gente adorou os biscoitos de aveia; apenas algumas pessoas gostaram do biscoito de chocolate. Para a próxima vez, devíamos fazer menos deles.",Os biscoitos de aveia,deles,0
O Vasco atirou a mochila para o Raimundo depois de ele chegar ao fundo das escadas.,Vasco,ele,0
O Ricardo explicou a sua teoria ao Marcos mas ele não conseguiu compreendê-la.,Marcos,ele,1
"Eu tentei fazer uma pintura de um pomar, com limões nos limoeiros, mas eles acabaram por aparecer mais com telefones públicos.",Os limoeiros,eles,1
Os bombeiros chegaram antes dos polícias porque eles estavam vindo de muito longe.,Os polícias,eles,1
"O meu encontro começava às 4:00 e eu precisava apanhar o comboio às 4:30, portanto não havia muito tempo. Felizmente, ele foi breve, por isso tudo se resolveu.",O meu encontro,ele,1
O Gustavo pediu um favor ao Roberto mas ele teve o seu pedido recusado.,Gustavo,ele,1
Os vereadores recusaram a autorização aos manifestantes porque eles temiam a violência.,Os manifestantes,eles,0
"O Jackson foi fortemente influenciado por Arnold, apesar de ele ter vivido dois séculos mais tarde.",Arnold,ele,0
Os arqueólogos concluíram que humanos viveram em Laputa há 20.000 anos. Eles procuraram por evidências nas margens do rio.,Arqueologistas,Eles,1
"Os alunos mais velhos estavam a fazer bullying aos mais jovens, então nós punimos eles .",Os alunos mais jovens,eles,0
O homem não conseguia erguer o seu filho porque ele era muito pesado.,O filho,ele,1
A mesa não vai passar pela porta de entrada porque ela é muito larga.,A mesa,ela,1
O Jorge vendeu a sua casa e comprou uma nova a alguns quilómetros de distância. Vai mudar-se dela na quinta-feira.,A nova casa,dela,0
"Os jornalistas entrevistaram as estrelas do novo filme. Como eles eram muito persistentes, a entrevista prolongou-se durante muito tempo.",Os astros,Eles,0
A mulher estava segurando a menina contra o peito dela.,A menina,dela,0
A medalha não cabe na maleta porque ela é muito pequena.,a medalha,ela,0
Eu pus o bolo no frigorífico. Ele tem muitas sobras.,A torta,Ele,0
"O Bruno pagou os estudos superiores do Fábio, mas agora o Fábio age como se isso nunca tivesse acontecido. Ele é muito ingrato.",Bruno,Ele,0
"O Samuel tentou pintar um quadro de pastoras com ovelhas, mas elas acabaram por se parecer mais com jogadores de golfe.",As pastoras,elas,1
"Durante a apresentação a céu aberto, começou a chover, e ela continuou até às 10.",A chuva,ela,1
